,side,quantity,price.amount,pv_level,pv_level_cum
272,ask,100,119.96,11996.0,12413902.089999998
273,ask,1,119.98,119.98,12414022.069999998
274,ask,520,119.99,62394.799999999996,12476416.87
275,ask,15664,120.0,1879680.0,14356096.87
276,ask,6,120.01,720.0600000000001,14356816.93
277,ask,50,120.1,6005.0,14362821.93
278,ask,8,120.15,961.2,14363783.129999999
279,ask,33,120.2,3966.6,14367749.729999999
280,ask,1,120.22,120.22,14367869.95
281,ask,1,120.24,120.24,14367990.19
282,ask,69,120.5,8314.5,14376304.69
283,ask,50,120.6,6030.0,14382334.69
284,ask,500,120.68,60340.0,14442674.69
285,ask,50,120.7,6035.0,14448709.69
286,ask,1,120.73,120.73,14448830.42
287,ask,91,120.8,10992.8,14459823.22
288,ask,2,120.84,241.68,14460064.9
289,ask,150,120.88,18132.0,14478196.9
290,ask,5,120.9,604.5,14478801.4
291,ask,234,120.94,28299.96,14507101.360000001
292,ask,101,120.98,12218.98,14519320.340000002
293,ask,474,121.0,57354.0,14576674.340000002
294,ask,1,121.01,121.01,14576795.350000001
295,ask,10,121.03,1210.3,14578005.650000002
296,ask,100,121.23,12123.0,14590128.650000002
297,ask,27,121.3,3275.1,14593403.750000002
298,ask,3,121.38,364.14,14593767.890000002
299,ask,2,121.39,242.78,14594010.670000002
300,ask,8,121.44,971.52,14594982.190000001
301,ask,1,121.48,121.48,14595103.670000002
302,ask,1292,121.5,156978.0,14752081.670000002
303,ask,220,121.6,26752.0,14778833.670000002
304,ask,85,121.64,10339.4,14789173.070000002
305,ask,121,121.8,14737.8,14803910.870000003
306,ask,5,121.81,609.05,14804519.920000004
307,ask,8,121.82,974.56,14805494.480000004
308,ask,50,121.88,6094.0,14811588.480000004
309,ask,7,121.95,853.65,14812442.130000005
310,ask,1000,121.98,121980.0,14934422.130000005
311,ask,270,121.99,32937.299999999996,14967359.430000005
312,ask,1753,122.0,213866.0,15181225.430000005
313,ask,800,122.1,97680.0,15278905.430000005
314,ask,30,122.15,3664.5,15282569.930000005
315,ask,11,122.18,1343.98,15283913.910000006
316,ask,200,122.2,24440.0,15308353.910000006
317,ask,80,122.22,9777.6,15318131.510000005
318,ask,2,122.3,244.6,15318376.110000005
319,ask,23,122.5,2817.5,15321193.610000005
320,ask,200,122.6,24520.0,15345713.610000005
321,ask,100,122.61,12261.0,15357974.610000005
322,ask,20,122.7,2454.0,15360428.610000005
323,ask,25,122.84,3071.0,15363499.610000005
324,ask,70,122.86,8600.2,15372099.810000004
325,ask,15,122.96,1844.3999999999999,15373944.210000005
326,ask,1150,122.99,141438.5,15515382.710000005
327,ask,2533,123.0,311559.0,15826941.710000005
328,ask,5,123.04,615.2,15827556.910000004
329,ask,1,123.07,123.07,15827679.980000004
330,ask,100,123.12,12312.0,15839991.980000004
331,ask,20,123.18,2463.6000000000004,15842455.580000004
332,ask,10,123.23,1232.3,15843687.880000005
333,ask,20,123.3,2466.0,15846153.880000005
334,ask,18,123.33,2219.94,15848373.820000004
335,ask,10,123.4,1234.0,15849607.820000004
336,ask,20,123.42,2468.4,15852076.220000004
337,ask,195,123.5,24082.5,15876158.720000004
338,ask,527,123.8,65242.6,15941401.320000004
339,ask,6,123.89,743.34,15942144.660000004
340,ask,75,123.9,9292.5,15951437.160000004
341,ask,89,123.97,11033.33,15962470.490000004
342,ask,1206,123.99,149531.94,16112002.430000003
343,ask,10719,124.0,1329156.0,17441158.430000003
344,ask,2,124.1,248.2,17441406.630000003
345,ask,2,124.4,248.8,17441655.430000003
346,ask,10,124.44,1244.4,17442899.830000002
347,ask,57,124.5,7096.5,17449996.330000002
348,ask,1,124.64,124.64,17450120.970000003
349,ask,55,124.66,6856.3,17456977.270000003
350,ask,32,124.7,3990.4,17460967.67
351,ask,20,124.8,2496.0,17463463.67
352,ask,310,124.88,38712.799999999996,17502176.470000003
353,ask,10,124.89,1248.9,17503425.37
354,ask,10,124.9,1249.0,17504674.37
355,ask,26282,125.0,3285250.0,20789924.37
356,ask,10,125.39,1253.9,20791178.27
357,ask,70,125.4,8778.0,20799956.27
358,ask,250,125.5,31375.0,20831331.27
359,ask,20,125.55,2511.0,20833842.27
360,ask,1,125.68,125.68,20833967.95
361,ask,100,125.79,12579.0,20846546.95
362,ask,1,125.8,125.8,20846672.75
363,ask,10,125.83,1258.3,20847931.05
364,ask,2,125.9,251.8,20848182.85
365,ask,1246,126.0,156996.0,21005178.85
366,ask,12,126.01,1512.1200000000001,21006690.970000003
367,ask,900,126.04,113436.0,21120126.970000003
368,ask,82,126.08,10338.56,21130465.53
369,ask,400,126.15,50460.0,21180925.53
370,ask,3,126.28,378.84000000000003,21181304.37
371,ask,200,126.35,25270.0,21206574.37
372,ask,6,126.5,759.0,21207333.37
373,ask,500,126.58,63290.0,21270623.37
374,ask,5,126.66,633.3,21271256.67
375,ask,20,126.7,2534.0,21273790.67
376,ask,5,126.78,633.9,21274424.57
377,ask,27,126.83,3424.41,21277848.98
378,ask,50,126.9,6345.0,21284193.98
379,ask,4,126.92,507.68,21284701.66
380,ask,100,126.99,12699.0,21297400.66
381,ask,1053,127.0,133731.0,21431131.66
382,ask,7,127.1,889.6999999999999,21432021.36
383,ask,24,127.5,3060.0,21435081.36
384,ask,100,127.6,12760.0,21447841.36
385,ask,30,127.8,3834.0,21451675.36
386,ask,15,127.88,1918.1999999999998,21453593.56
387,ask,100,127.89,12789.0,21466382.56
388,ask,245,127.9,31335.5,21497718.06
389,ask,1496,128.0,191488.0,21689206.06
390,ask,20,128.05,2561.0,21691767.06
391,ask,1,128.28,128.28,21691895.34
392,ask,2595,128.35,333068.25,22024963.59
393,ask,22,128.5,2827.0,22027790.59
394,ask,100,128.56,12856.0,22040646.59
395,ask,7,128.6,900.1999999999999,22041546.79
396,ask,3,128.64,385.91999999999996,22041932.71
397,ask,120,128.7,15443.999999999998,22057376.71
398,ask,20,128.78,2575.6,22059952.310000002
399,ask,1016,128.8,130860.80000000002,22190813.110000003
400,ask,102,128.88,13145.76,22203958.870000005
401,ask,648,129.0,83592.0,22287550.870000005
402,ask,50,129.2,6459.999999999999,22294010.870000005
403,ask,200,129.26,25852.0,22319862.870000005
404,ask,300,129.28,38784.0,22358646.870000005
405,ask,38,129.31,4913.78,22363560.650000006
406,ask,100,129.35,12935.0,22376495.650000006
407,ask,28,129.5,3626.0,22380121.650000006
408,ask,30,129.57,3887.1,22384008.750000007
409,ask,500,129.7,64849.99999999999,22448858.750000007
410,ask,20,129.88,2597.6,22451456.35000001
411,ask,6,129.89,779.3399999999999,22452235.69000001
412,ask,68,129.99,8839.32,22461075.01000001
413,ask,1786,130.0,232180.0,22693255.01000001
414,ask,17,130.16,2212.72,22695467.730000008
415,ask,7,130.49,913.4300000000001,22696381.160000008
416,ask,20,130.7,2614.0,22698995.160000008
417,ask,1,130.8,130.8,22699125.96000001
418,ask,184,131.0,24104.0,22723229.96000001
419,ask,25,131.4,3285.0,22726514.96000001
420,ask,40,131.5,5260.0,22731774.96000001
421,ask,80,131.8,10544.0,22742318.96000001
422,ask,20,131.95,2639.0,22744957.96000001
423,ask,51,132.0,6732.0,22751689.96000001
424,ask,1,132.8,132.8,22751822.76000001
425,ask,1,132.87,132.87,22751955.63000001
426,ask,160,133.0,21280.0,22773235.63000001
427,ask,5,133.33,666.6500000000001,22773902.28000001
428,ask,20,133.4,2668.0,22776570.28000001
429,ask,66,133.48,8809.679999999998,22785379.96000001
430,ask,1,133.66,133.66,22785513.62000001
431,ask,10,133.7,1337.0,22786850.62000001
432,ask,2735,134.0,366490.0,23153340.62000001
433,ask,10,134.01,1340.1,23154680.72000001
434,ask,20,134.28,2685.6,23157366.32000001
435,ask,100,134.56,13456.0,23170822.32000001
436,ask,50,134.68,6734.0,23177556.32000001
437,ask,5,134.86,674.3000000000001,23178230.620000012
438,ask,156,134.88,21041.28,23199271.900000013
439,ask,3,134.9,404.70000000000005,23199676.600000013
440,ask,6,134.91,809.46,23200486.060000014
441,ask,978,135.0,132030.0,23332516.060000014
442,ask,7,135.1,945.6999999999999,23333461.760000013
443,ask,20,135.11,2702.2000000000003,23336163.960000012
444,ask,2,135.12,270.24,23336434.20000001
445,ask,5,135.25,676.25,23337110.45000001
446,ask,50,135.58,6779.000000000001,23343889.45000001
447,ask,1,135.8,135.8,23344025.25000001
448,ask,15,135.86,2037.9,23346063.15000001
449,ask,20,135.95,2719.0,23348782.15000001
450,ask,225,136.0,30600.0,23379382.15000001
451,ask,100,136.03,13603.0,23392985.15000001
452,ask,30,136.66,4099.8,23397084.95000001
453,ask,787,137.0,107819.0,23504903.95000001
454,ask,200,137.25,27450.0,23532353.95000001
455,ask,2,137.29,274.58,23532628.53000001
456,ask,76,137.33,10437.080000000002,23543065.610000007
457,ask,7,137.95,965.6499999999999,23544031.260000005
458,ask,3566,138.0,492108.0,24036139.260000005
459,ask,20,138.2,2764.0,24038903.260000005
460,ask,10,138.25,1382.5,24040285.760000005
461,ask,559,138.88,77633.92,24117919.680000007
462,ask,983,139.0,136637.0,24254556.680000007
463,ask,100,139.03,13903.0,24268459.680000007
464,ask,100,139.4,13940.0,24282399.680000007
465,ask,6,139.8,838.8000000000001,24283238.480000008
466,ask,70,139.81,9786.7,24293025.180000007
467,ask,6,139.88,839.28,24293864.46000001
468,ask,50,139.9,6995.0,24300859.46000001
469,ask,21,139.99,2939.79,24303799.250000007
470,ask,9091,140.0,1272740.0,25576539.250000007
471,ask,1500,140.3,210450.00000000003,25786989.250000007
472,ask,13,140.8,1830.4,25788819.650000006
473,ask,2001,141.0,282141.0,26070960.650000006
474,ask,34,142.0,4828.0,26075788.650000006
475,ask,120,142.2,17064.0,26092852.650000006
476,ask,72,142.4,10252.800000000001,26103105.450000007
477,ask,4,142.5,570.0,26103675.450000007
478,ask,5,142.58,712.9000000000001,26104388.350000005
479,ask,5,143.0,715.0,26105103.350000005
480,ask,7,143.1,1001.6999999999999,26106105.050000004
481,ask,121,143.8,17399.800000000003,26123504.850000005
482,ask,410,143.97,59027.7,26182532.550000004
483,ask,31,144.0,4464.0,26186996.550000004
484,ask,6,144.84,869.04,26187865.590000004
485,ask,8,144.88,1159.04,26189024.630000003
486,ask,393,145.0,56985.0,26246009.630000003
487,ask,10,145.5,1455.0,26247464.630000003
488,ask,18,145.54,2619.72,26250084.35
489,ask,1,145.8,145.8,26250230.150000002
490,ask,173,146.0,25258.0,26275488.150000002
491,ask,6,146.58,879.48,26276367.630000003
492,ask,6,146.66,879.96,26277247.590000004
493,ask,80,146.88,11750.4,26288997.990000002
494,ask,452,147.0,66444.0,26355441.990000002
495,ask,20,147.7,2954.0,26358395.990000002
496,ask,46,147.88,6802.48,26365198.470000003
497,ask,205,148.0,30340.0,26395538.470000003
498,ask,20,148.3,2966.0,26398504.470000003
499,ask,1,148.4,148.4,26398652.87
500,ask,94,148.5,13959.0,26412611.87
501,ask,3,148.8,446.40000000000003,26413058.27
502,ask,20,148.88,2977.6,26416035.87
503,ask,330,149.0,49170.0,26465205.87
504,ask,10,149.45,1494.5,26466700.37
505,ask,1,149.49,149.49,26466849.86
506,ask,16,149.5,2392.0,26469241.86
507,ask,15,149.75,2246.25,26471488.11
508,ask,1,149.88,149.88,26471637.99
509,ask,15,149.89,2248.35,26473886.34
510,ask,50,149.9,7495.0,26481381.34
511,ask,20,149.98,2999.6,26484380.94
512,ask,14,149.99,2099.86,26486480.8
513,ask,4495,150.0,674250.0,27160730.8
514,ask,20,150.2,3004.0,27163734.8
515,ask,1,150.8,150.8,27163885.6
516,ask,5,151.0,755.0,27164640.6
517,ask,7,151.1,1057.7,27165698.3
518,ask,4,151.58,606.32,27166304.62
519,ask,152,152.0,23104.0,27189408.62
520,ask,360,153.0,55080.0,27244488.62
521,ask,100,153.79,15379.0,27259867.62
522,ask,5,153.95,769.75,27260637.37
523,ask,5,154.0,770.0,27261407.37
524,ask,2800,154.26,431928.0,27693335.37
525,ask,2000,154.58,309160.0,28002495.37
526,ask,50,154.9,7745.0,28010240.37
527,ask,2414,155.0,374170.0,28384410.37
528,ask,10,155.6,1556.0,28385966.37
529,ask,60,156.0,9360.0,28395326.37
530,ask,2000,157.45,314900.0,28710226.37
531,ask,3114,158.0,492012.0,29202238.37
532,ask,7,158.1,1106.7,29203345.07
533,ask,200,158.6,31720.0,29235065.07
534,ask,10,158.84,1588.4,29236653.47
535,ask,10,158.88,1588.8,29238242.27
536,ask,30,158.92,4767.599999999999,29243009.87
537,ask,23,159.0,3657.0,29246666.87
538,ask,9,159.3,1433.7,29248100.57
539,ask,50,159.9,7995.0,29256095.57
540,ask,780,160.0,124800.0,29380895.57
541,ask,20,160.02,3200.4,29384095.97
542,ask,100,160.5,16050.0,29400145.97
543,ask,2,161.11,322.22,29400468.189999998
544,ask,4,161.85,647.4,29401115.589999996
545,ask,3,162.0,486.0,29401601.589999996
546,ask,3,163.0,489.0,29402090.589999996
547,ask,2,163.18,326.36,29402416.949999996
548,ask,33,163.8,5405.400000000001,29407822.349999994
549,ask,45,164.0,7380.0,29415202.349999994
550,ask,3,164.41,493.23,29415695.579999994
551,ask,10,164.5,1645.0,29417340.579999994
552,ask,423,165.0,69795.0,29487135.579999994
553,ask,6,165.66,993.96,29488129.539999995
554,ask,18,166.0,2988.0,29491117.539999995
555,ask,2,166.36,332.72,29491450.259999994
556,ask,100,166.66,16666.0,29508116.259999994
557,ask,1,166.8,166.8,29508283.059999995
558,ask,50,167.39,8369.5,29516652.559999995
559,ask,5,167.67,838.3499999999999,29517490.909999996
560,ask,50,167.8,8390.0,29525880.909999996
561,ask,1428,168.0,239904.0,29765784.909999996
562,ask,20,168.5,3370.0,29769154.909999996
563,ask,103,168.8,17386.4,29786541.309999995
564,ask,300,168.88,50664.0,29837205.309999995
565,ask,106,169.0,17914.0,29855119.309999995
566,ask,125,169.03,21128.75,29876248.059999995
567,ask,100,169.19,16919.0,29893167.059999995
568,ask,10,169.47,1694.7,29894861.759999994
569,ask,1300,169.5,220350.0,30115211.759999994
570,ask,100,169.8,16980.0,30132191.759999994
571,ask,2314,170.0,393380.0,30525571.759999994
572,ask,6,170.38,1022.28,30526594.039999995
573,ask,101,171.0,17271.0,30543865.039999995
574,ask,57,171.7,9786.9,30553651.939999994
575,ask,2000,171.99,343980.0,30897631.939999994
576,ask,1396,172.0,240112.0,31137743.939999994
577,ask,10,172.23,1722.3,31139466.239999995
578,ask,39,172.8,6739.200000000001,31146205.439999994
579,ask,248,173.0,42904.0,31189109.439999994
580,ask,4,173.1,692.4,31189801.839999992
581,ask,600,174.98,104988.0,31294789.839999992
582,ask,6856,175.0,1199800.0,32494589.839999992
583,ask,9,175.5,1579.5,32496169.339999992
584,ask,2,175.55,351.1,32496520.439999994
